"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
62,26669539,"moniqueyfw (2/20)",0,203.25,"(PF) Dirk Nowitzki ,(C) Tyson Chandler ,(G) Devin Harris ,(UTIL) Robin Lopez ,(SG) James Harden ,(F) Nicolas Batum ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
62,26671306,"moniqueyfw (5/20)",0,203.25,"(PF) Dirk Nowitzki ,(C) Tyson Chandler ,(G) Devin Harris ,(UTIL) Robin Lopez ,(SG) James Harden ,(F) Nicolas Batum ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
62,26673753,"moniqueyfw (8/20)",0,203.25,"(PF) Dirk Nowitzki ,(C) Tyson Chandler ,(G) Devin Harris ,(UTIL) Robin Lopez ,(SG) James Harden ,(F) Nicolas Batum ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
65,26680146,"Madden21 (1/20)",0,201.50,"(PG) Devin Harris ,(PF) Boris Diaw ,(C) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) Danny Green ,(G) Patrick Beverley ,(UTIL) Damian Lillard ,(SF) Kawhi Leonard "
66,26690135,"andy1h2004 (1/20)",0,200.75,"(SG) Jason Terry ,(PF) Boris Diaw ,(UTIL) Wesley Matthews ,(C) Robin Lopez ,(G) James Harden ,(F) Nicolas Batum ,(PG) Damian Lillard ,(SF) Kostas Papanikolaou "
66,26690144,"andy1h2004 (2/20)",0,200.75,"(SG) Jason Terry ,(PF) Boris Diaw ,(UTIL) Wesley Matthews ,(C) Robin Lopez ,(G) James Harden ,(F) Nicolas Batum ,(PG) Damian Lillard ,(SF) Kostas Papanikolaou "
66,26690146,"andy1h2004 (3/20)",0,200.75,"(SG) Jason Terry ,(PF) Boris Diaw ,(UTIL) Wesley Matthews ,(C) Robin Lopez ,(G) James Harden ,(F) Nicolas Batum ,(PG) Damian Lillard ,(SF) Kostas Papanikolaou "
69,26687619,"ISmellTheMoney (3/20)",0,197.25,"(PG) Tony Parker ,(PF) Boris Diaw ,(C) Dwight Howard ,(G) Danny Green ,(UTIL) Robin Lopez ,(SG) James Harden ,(SF) Kawhi Leonard ,(F) Donatas Motiejunas "
70,26692375,"hightrolling (1/20)",0,196.25,"(PG) Tony Parker ,(UTIL) Chris Kaman ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Wesley Matthews ,(G) Danny Green ,(SF) Chandler Parsons ,(F) Kawhi Leonard "
71,26696186,"bonziwells (1/20)",0,195.50,"(UTIL) Tony Parker ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(G) Wesley Matthews ,(SG) Danny Green ,(F) Chandler Parsons ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
72,26697858,"xxlunnxx24 (1/20)",0,194.00,"(UTIL) Dirk Nowitzki ,(G) Jason Terry ,(PG) Tony Parker ,(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Monta Ellis ,(SF) Chandler Parsons ,(F) Kawhi Leonard "
73,26694674,"Cbrink2512 (1/20)",0,193.75,"(PF) Dirk Nowitzki ,(PG) Jameer Nelson ,(UTIL) Boris Diaw ,(C) Dwight Howard ,(G) Monta Ellis ,(SG) Wesley Matthews ,(F) Chandler Parsons ,(SF) Kawhi Leonard "
73,26698599,"jayflite (1/20)",0,193.75,"(UTIL) Tyson Chandler ,(PG) Tony Parker ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Wesley Matthews ,(G) Danny Green ,(SF) Nicolas Batum ,(F) Thomas Robinson "
75,26668261,"derm (1/20)",0,193.50,"(C) Tyson Chandler ,(PF) LaMarcus Aldridge ,(G) Danny Green ,(SG) James Harden ,(PG) Damian Lillard ,(UTIL) Isaiah Canaan ,(SF) Kawhi Leonard ,(F) Kostas Papanikolaou "
75,26682446,"sbunnell (1/20)",0,193.50,"(C) Tyson Chandler ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(G) James Harden ,(PG) Damian Lillard ,(UTIL) Isaiah Canaan ,(SF) Kawhi Leonard ,(F) Kostas Papanikolaou "
75,26683056,"kholdstare83 (5/20)",0,193.50,"(C) Tyson Chandler ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(G) James Harden ,(PG) Damian Lillard ,(UTIL) Isaiah Canaan ,(SF) Kawhi Leonard ,(F) Kostas Papanikolaou "
75,26683090,"kholdstare83 (8/20)",0,193.50,"(C) Tyson Chandler ,(PF) LaMarcus Aldridge ,(SG) Danny Green ,(G) James Harden ,(PG) Damian Lillard ,(UTIL) Isaiah Canaan ,(SF) Kawhi Leonard ,(F) Kostas Papanikolaou "
79,26691502,"NHsmitdogs (1/20)",0,190.75,"(UTIL) Dirk Nowitzki ,(C) Tyson Chandler ,(F) Boris Diaw ,(PF) LaMarcus Aldridge ,(G) Danny Green ,(SG) James Harden ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
80,26674156,"bjhyb5 (1/20)",0,190.50,"(PF) Dirk Nowitzki ,(SG) Jason Terry ,(G) Tony Parker ,(UTIL) Matt Bonner ,(F) Boris Diaw ,(SF) Trevor Ariza ,(C) Dwight Howard ,(PG) Damian Lillard "
81,26681680,"jacktrent (1/20)",0,190.25,"(PG) Tony Parker ,(PF) Matt Bonner ,(C) Dwight Howard ,(G) Monta Ellis ,(SG) Danny Green ,(UTIL) James Harden ,(SF) Kawhi Leonard ,(F) Kostas Papanikolaou "
82,26690814,"ttanakaeprox (1/20)",0,189.75,"(C) Chris Kaman ,(PG) Devin Harris ,(UTIL) Boris Diaw ,(SF) Trevor Ariza ,(PF) LaMarcus Aldridge ,(G) Danny Green ,(SG) James Harden ,(F) Kawhi Leonard "
83,26698000,"lineinthesand (1/20)",0,188.00,"(G) Jameer Nelson ,(PF) Boris Diaw ,(SF) Trevor Ariza ,(C) Dwight Howard ,(SG) Wesley Matthews ,(UTIL) Brandan Wright ,(F) Chandler Parsons ,(PG) Damian Lillard "
84,26687618,"ISmellTheMoney (2/20)",0,187.50,"(PG) Tony Parker ,(PF) Boris Diaw ,(F) Trevor Ariza ,(C) Dwight Howard ,(G) Monta Ellis ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(SF) Kawhi Leonard "
84,26688021,"Twulff44 (1/20)",0,187.50,"(UTIL) Tony Parker ,(PF) Boris Diaw ,(C) Dwight Howard ,(G) Danny Green ,(SG) James Harden ,(SF) Chandler Parsons ,(PG) Isaiah Canaan ,(F) Kostas Papanikolaou "
86,26684341,"TheNumbersGuy81 (1/20)",0,186.00,"(PG) Tony Parker ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Monta Ellis ,(G) Danny Green ,(SF) Kawhi Leonard ,(UTIL) Kostas Papanikolaou "
86,26689235,"TheNumbersGuy81 (2/20)",0,186.00,"(PG) Tony Parker ,(F) Boris Diaw ,(C) Dwight Howard ,(PF) LaMarcus Aldridge ,(SG) Monta Ellis ,(G) Danny Green ,(SF) Kawhi Leonard ,(UTIL) Kostas Papanikolaou "
88,26690859,"alexsmyth25 (1/20)",0,184.50,"(F) Dirk Nowitzki ,(PG) Tony Parker ,(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Danny Green ,(UTIL) Patrick Beverley ,(G) Damian Lillard ,(SF) Kawhi Leonard "
89,26695400,"stewy1385 (3/20)",0,183.00,"(PF) Boris Diaw ,(G) Monta Ellis ,(SG) Wesley Matthews ,(C) Robin Lopez ,(UTIL) James Harden ,(SF) Chandler Parsons ,(PG) Isaiah Canaan ,(F) Kawhi Leonard "
90,26688812,"jrbidd2 (1/20)",0,182.75,"(UTIL) Devin Harris ,(PF) Boris Diaw ,(F) LaMarcus Aldridge ,(G) Danny Green ,(C) Robin Lopez ,(SG) James Harden ,(SF) Chandler Parsons ,(PG) Isaiah Canaan "
91,26696446,"soldier261988 (1/20)",0,181.25,"(F) Dirk Nowitzki ,(PG) Tony Parker ,(G) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Wesley Matthews ,(UTIL) Chandler Parsons ,(SF) Kawhi Leonard "
91,26696468,"soldier261988 (2/20)",0,181.25,"(F) Dirk Nowitzki ,(PG) Tony Parker ,(G) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Wesley Matthews ,(UTIL) Chandler Parsons ,(SF) Kawhi Leonard "
91,26696477,"soldier261988 (3/20)",0,181.25,"(F) Dirk Nowitzki ,(PG) Tony Parker ,(G) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(SG) Wesley Matthews ,(UTIL) Chandler Parsons ,(SF) Kawhi Leonard "
94,26695891,"crappydonuts (2/20)",0,180.50,"(F) Dirk Nowitzki ,(C) Tyson Chandler ,(G) Jameer Nelson ,(PF) LaMarcus Aldridge ,(SG) Monta Ellis ,(UTIL) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
94,26695907,"crappydonuts (5/20)",0,180.50,"(F) Dirk Nowitzki ,(C) Tyson Chandler ,(G) Jameer Nelson ,(PF) LaMarcus Aldridge ,(SG) Monta Ellis ,(UTIL) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
94,26695933,"crappydonuts (8/20)",0,180.50,"(F) Dirk Nowitzki ,(C) Tyson Chandler ,(G) Jameer Nelson ,(PF) LaMarcus Aldridge ,(SG) Monta Ellis ,(UTIL) Danny Green ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
97,26667379,"dangerousanimals (1/20)",0,179.75,"(G) Tony Parker ,(C) Chris Kaman ,(PF) Boris Diaw ,(F) LaMarcus Aldridge ,(UTIL) Monta Ellis ,(SG) James Harden ,(PG) Isaiah Canaan ,(SF) Kawhi Leonard "
97,26691840,"Pointgiven (1/20)",0,179.75,"(C) Tyson Chandler ,(G) Devin Harris ,(PF) LaMarcus Aldridge ,(UTIL) Wesley Matthews ,(SG) Danny Green ,(F) Chandler Parsons ,(PG) Damian Lillard ,(SF) Kawhi Leonard "
99,26674481,"medinag013 (1/20)",0,179.25,"(PG) Tony Parker ,(G) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(SF) Chandler Parsons "
99,26674492,"medinag013 (2/20)",0,179.25,"(PG) Tony Parker ,(G) Jameer Nelson ,(PF) Boris Diaw ,(C) Dwight Howard ,(F) LaMarcus Aldridge ,(SG) Wesley Matthews ,(UTIL) Danny Green ,(SF) Chandler Parsons "
101,26691769,"jesuitpong (1/20)",0,178.75,"(C) Tyson Chandler ,(PG) Devin Harris ,(PF) Boris Diaw ,(F) LaMarcus Aldridge ,(SG) James Harden ,(G) Damian Lillard ,(UTIL) Isaiah Canaan ,(SF) Donatas Motiejunas "
102,26697127,"Shoop (1/20)",0,178.25,"(C) Chris Kaman ,(F) Boris Diaw ,(G) Monta Ellis ,(UTIL) Danny Green ,(PF) Brandan Wright ,(SG) James Harden ,(SF) Chandler Parsons ,(PG) Damian Lillard "
103,26671672,"jphou2 (1/20)",0,178.00,"(PF) Tim Duncan ,(UTIL) Tyson Chandler ,(PG) Devin Harris ,(C) Dwight Howard ,(SG) Monta Ellis ,(G) Danny Green ,(SF) Chandler Parsons ,(F) Kawhi Leonard "
