"collection1"
"player","team","max","min","range","stdev"
"Mike Scott","ATL","37.6","-0.8","38.4","8.5"
"Ryan Kelly","LAL","41.7","1.2","40.5","10.2"
"Trevor Booker","WAS","46.8","0","46.8","10.3"
"Jeremy Evans","UTA","31.5","1","30.5","7.5"
"Shawne Williams","LAL","41.3","2.4","38.9","8.4"
"Dante Cunningham","MIN","42.1","1.2","40.9","8"
"Michael Beasley","MIA","31.8","0","31.8","8.8"
"Luis Scola","IND","27.5","2.6","24.9","5.4"
"Danny Granger","IND","27.7","0.2","27.5","6.7"
"Mirza Teletovic","BRK","44.7","0","44.7","9.3"
"Gerald Wallace","BOS","40.9","1.2","39.7","8.9"
"Omri Casspi","HOU","36.9","0","36.9","8.6"
"Jordan Hamilton","DEN","38.7","-0.5","39.2","9.1"
"Kenyon Martin","NYK","27","0","27","8.2"
"Cody Zeller","CHA","29.4","-1","30.4","5.9"
"Andrei Kirilenko","BRK","32.5","3.3","29.3","5.8"
"Jeff Adrien","CHA","43","0","43","10.1"
"Jared Dudley","LAC","35.9","0","35.9","7.2"
"Ed Davis","MEM","39.9","-1","40.9","9.6"
"Jon Leuer","MEM","40.3","0","40.3","10.7"
"Alan Anderson","BRK","39","-1","40","7.8"
"Tayshaun Prince","MEM","24.8","0.2","24.6","6"
"Darrell Arthur","DEN","28.6","0","28.6","6.9"
"John Salmons","TOR","29.7","-1","30.7","6.9"
"Tyler Hansbrough","TOR","33.4","-0.8","34.2","7.2"
"Hollis Thompson","PHI","32","0","32","6.8"
"Francisco Garcia","HOU","33.1","0","33.1","8.2"
"Jeff Taylor","CHA","26","-1","27","6.4"
"Chris Douglas-Roberts","CHA","32.3","0","32.3","8.9"
"Reggie Evans","BRK","26.8","-1","27.8","7.7"
"Anthony Randolph","DEN","28.4","0","28.4","7.8"
"Nick Collison","OKC","23.1","-0.8","23.9","5"
"Ekpe Udoh","MIL","31.2","-2","33.2","7.5"
"Thomas Robinson","POR","42.6","0.2","42.4","7.9"
"Anthony Tolliver","CHA","24.6","0","24.6","6.1"
"Andrew Nicholson","ORL","39.2","-1","40.2","8.5"
"Jae Crowder","DAL","28.3","0","28.3","6.8"
"Dorell Wright","POR","28.8","-0.8","29.6","6.9"
"Shane Battier","MIA","27.8","0","27.8","5.8"
"Al Harrington","WAS","17.8","0","17.8","5.5"
"Jan Vesely","WAS","25.2","0","25.2","6.8"
"Chase Budinger","MIN","25.5","-0.5","26","6.4"
"Earl Clark","CLE","22.4","0","22.4","6.3"
"Rashard Lewis","MIA","32.8","0","32.8","6.7"
"Antawn Jamison","LAC","21","0","21","6.6"
"Quincy Acy","SAC","21.7","0","21.7","5.1"
"Jeremy Tyler","NYK","29.2","0","29.2","7.4"
"Cartier Martin","CHI","29.2","0","29.2","7.5"
"Cartier Martin","CHI","29.2","0","29.2","7.5"
"Quincy Miller","DEN","35.7","-1","36.7","7.1"
"Carl Landry","SAC","18.8","1.2","17.6","5.5"
"Anthony Bennett","CLE","32","-1","33","7.6"
"Charlie Villanueva","DET","19.5","-1","20.5","5.8"
"Mike Harris","UTA","20.8","1.2","19.6","5.2"
"Alonzo Gee","CLE","23.9","-1","24.9","6.5"

