player,team,pos,salary,opp,gp,fppg,fpmax,fpmin,floor,ceil,%3x,%4x,%5x,%6x
Gerald Green,PHO,SG,0,N/A,10,22.1,41.25,0.75,8.55,35.65,0,0,0,0
Alan Anderson,BKN,SF,0,N/A,9,9.72,21.25,2,3.92,15.53,0,0,0,0
Anthony Davis,NOP,PF,0,N/A,8,55.44,75.75,30.5,41.76,69.11,0,0,0,0
Michael Kidd-Gilchrist,CHA,SF,0,N/A,6,20.46,37,5.25,10.3,30.61,0,0,0,0
Dion Waiters,CLE,SG,0,N/A,7,16.5,30.25,6.5,8.23,24.77,0,0,0,0
Bradley Beal,WAS,SG,0,N/A,1,0,0,0,0,0,0,0,0,0
Thomas Robinson,POR,PF,0,N/A,7,6.89,14.5,0,1.59,12.19,0,0,0,0
Damian Lillard,POR,PG,0,N/A,10,39.6,51.5,22.5,29.1,50.1,0,0,0,0
Harrison Barnes,GSW,SF,4800.00,@ LAL,9,21.36,33.5,9.5,14.04,28.68,0.78,0.67,0.44,0.11
Terrence Ross,TOR,SG,0,N/A,10,19.45,34.25,8.25,10.83,28.07,0,0,0,0
Austin Rivers,NOP,SG,0,N/A,8,16.31,30.25,6.5,8.73,23.89,0,0,0,0
Andre Drummond,DET,C,0,N/A,10,26.8,37.5,12.75,19.7,33.9,0,0,0,0
Meyers Leonard,POR,C,0,N/A,5,7.95,24,0,-0.58,16.48,0,0,0,0
Kendall Marshall,MIL,PG,3000.00,@ MIA,4,4.06,12.75,-0.5,-1.25,9.37,0.25,0.25,0,0
John Henson,MIL,PF,3500.00,@ MIA,9,12.5,32.25,1.25,3.35,21.65,0.44,0.33,0.22,0.22
Tyler Zeller,BOS,C,0,N/A,8,10.72,24.25,3.75,4.07,17.37,0,0,0,0
Terrence Jones,HOU,PF,6000.00,@ OKC,5,25,45.25,0,7.99,42.01,0.8,0.4,0.4,0.4
Evan Fournier,ORL,SG,0,N/A,11,25.57,41.5,16.75,17.88,33.25,0,0,0,0
Andrew Nicholson,ORL,PF,0,N/A,4,4.44,11.5,0,0.16,8.72,0,0,0,0
John Jenkins,ATL,SG,0,N/A,2,7.63,15.25,0,0,15.25,0,0,0,0
Jared Cunningham,LAC,SG,0,N/A,4,2.81,6.5,0,0.46,5.17,0,0,0,0
Miles Plumlee,PHO,C,0,N/A,10,19.83,37.5,9.5,11.61,28.04,0,0,0,0
Festus Ezeli,GSW,C,3000.00,@ LAL,8,8.94,16.5,3.25,4.55,13.32,0.5,0.25,0.13,0
Chris Copeland,IND,SF,0,N/A,11,24.18,43,9.25,14.04,34.32,0,0,0,0
Nazr Mohammed,CHI,C,0,N/A,1,0,0,0,0,0,0,0,0,0
Robert Sacre,LAL,C,3000.00,vs. GSW,8,6.25,11.75,2,3.28,9.22,0.25,0,0,0
Ryan Hollins,SAC,C,0,N/A,4,2.38,3.25,1.5,1.7,3.05,0,0,0,0
Kyle O'Quinn,ORL,PF,0,N/A,1,21.5,21.5,21.5,21.5,21.5,0,0,0,0
Jae Crowder,DAL,SF,0,N/A,9,6.19,18.75,1.5,0.44,11.95,0,0,0,0
Alexey Shved,PHI,SG,0,N/A,7,16.89,30.75,10,10.21,23.58,0,0,0,0
P.J. Tucker,PHO,SF,0,N/A,7,18.89,31.75,12,11.19,26.59,0,0,0,0
Darius Miller,NOP,SF,0,N/A,4,1.13,3,0,-0.12,2.37,0,0,0,0
