"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"C","Lavoy Allen",3600,"Orl@Ind 08:00PM ET",20.717
"PG","Austin Rivers",3600,"NO@Atl 07:30PM ET",14.731
"SG","P.J. Hairston",3600,"GS@Cha 07:00PM ET",9.194
"PG","Shane Larkin",3600,"NY@OKC 08:00PM ET",14.183
"SF","Caron Butler",3500,"Mil@Det 07:30PM ET",14.767
"SF","James Johnson",3500,"Dal@Tor 07:30PM ET",17.833
"PG","Shelvin Mack",3400,"NO@Atl 07:30PM ET",10.292
"PG","Ray McCallum",3400,"Sac@SA 08:30PM ET",5.350
"SG","Quincy Pondexter",3300,"Mem@Por 10:00PM ET",9.596
"PG","Greivis Vasquez",3300,"Dal@Tor 07:30PM ET",16.183
"C","JaVale McGee",3300,"Pho@Den 09:00PM ET",11.365
"C","Robert Sacre",3300,"Min@LAL 10:30PM ET",9.196
"PF","Carl Landry",3200,"Sac@SA 08:30PM ET",15.150
"SF","Kyle Singler",3200,"Mil@Det 07:30PM ET",11.517
"PF","John Henson",3200,"Mil@Det 07:30PM ET",10.607
"PG","C.J. Watson",3100,"Orl@Ind 08:00PM ET",0
"PG","Pablo Prigioni",3100,"NY@OKC 08:00PM ET",14.875
"C","Alex Len",3100,"Pho@Den 09:00PM ET",15.484
"C","Nazr Mohammed",3000,"Chi@Bos 01:00PM ET",8.833
"C","Elton Brand",3000,"NO@Atl 07:30PM ET",8.375
"SG","Jason Terry",3000,"LAC@Hou 08:00PM ET",13.583
"SF","Hedo Turkoglu",3000,"LAC@Hou 08:00PM ET",6.825
"SF","Richard Jefferson",3000,"Dal@Tor 07:30PM ET",7.404
"SF","Gerald Wallace",3000,"Chi@Bos 01:00PM ET",2.700
"PF","Matt Bonner",3000,"Sac@SA 08:30PM ET",11.125
"C","Nick Collison",3000,"NY@OKC 08:00PM ET",13.688
"PG","Steve Blake",3000,"Mem@Por 10:00PM ET",15.550
"SG","Willie Green",3000,"Orl@Ind 08:00PM ET",7.673
"PG","Luke Ridnour",3000,"Orl@Ind 08:00PM ET",11.550
"PF","Chuck Hayes",3000,"Dal@Tor 07:30PM ET",7.333
"SG","Ben Gordon",3000,"Orl@Ind 08:00PM ET",10.071
"PF","Jason Maxiell",3000,"GS@Cha 07:00PM ET",5.404
"PG","Ronnie Price",3000,"Min@LAL 10:30PM ET",14.643
"PF","Ronny Turiaf",3000,"Min@LAL 10:30PM ET",2.125
"SF","Tayshaun Prince",3000,"Mem@Por 10:00PM ET",11.667
"SF","John Salmons",3000,"NO@Atl 07:30PM ET",2.607
"PG","Jannero Pargo",3000,"GS@Cha 07:00PM ET",6.313
"PF","Shavlik Randolph",3000,"Pho@Den 09:00PM ET",2.969
"SG","Randy Foye",3000,"Pho@Den 09:00PM ET",14.659
"PG","Nate Robinson",3000,"Pho@Den 09:00PM ET",11.700
"PF","Reggie Evans",3000,"Sac@SA 08:30PM ET",12.056
"SG","Gary Neal",3000,"GS@Cha 07:00PM ET",19.096
"SF","Francisco Garcia",3000,"LAC@Hou 08:00PM ET",7.667
"C","Ryan Hollins",3000,"Sac@SA 08:30PM ET",2.042
"C","Kendrick Perkins",3000,"NY@OKC 08:00PM ET",14.172
"PG","Leandro Barbosa",3000,"GS@Cha 07:00PM ET",12.538
"SF","Cartier Martin",3000,"Mil@Det 07:30PM ET",0.000
"PF","Charlie Villanueva",3000,"Dal@Tor 07:30PM ET",4.028
"PF","Anthony Tolliver",3000,"Pho@Den 09:00PM ET",6.661
"SF","Jared Dudley",3000,"Mil@Det 07:30PM ET",9.922
"PG","Shaun Livingston",3000,"GS@Cha 07:00PM ET",10.071
"PG","Sebastian Telfair",3000,"NY@OKC 08:00PM ET",16.188
"SF","Dorell Wright",3000,"Mem@Por 10:00PM ET",5.964
"PG","Beno Udrih",3000,"Mem@Por 10:00PM ET",14.179
"C","Greg Stiemsma",3000,"Dal@Tor 07:30PM ET",5.350
"PG","Jordan Farmar",3000,"LAC@Hou 08:00PM ET",9.250
"C","Jason Smith",3000,"NY@OKC 08:00PM ET",11.813
"PF","Glen Davis",3000,"LAC@Hou 08:00PM ET",6.333
"PF","Joey Dorsey",3000,"LAC@Hou 08:00PM ET",4.475
"PF","Joel Anthony",3000,"Mil@Det 07:30PM ET",4.406
"PF","Jeff Ayres",3000,"Sac@SA 08:30PM ET",6.250
"SF","Chris Douglas-Roberts",3000,"LAC@Hou 08:00PM ET",4.563
"PF","Tyler Hansbrough",3000,"Dal@Tor 07:30PM ET",9.818
"C","Aron Baynes",3000,"Sac@SA 08:30PM ET",14.214
"SF","Alonzo Gee",3000,"Pho@Den 09:00PM ET",9.295
"SG","Brandon Rush",3000,"GS@Cha 07:00PM ET",2.972
"C","Joel Freeland",3000,"Mem@Por 10:00PM ET",7.063
"PG","A.J. Price",3000,"Orl@Ind 08:00PM ET",17.350
"SG","Wayne Ellington",3000,"Min@LAL 10:30PM ET",12.750
"SF","Chase Budinger",3000,"Min@LAL 10:30PM ET",7.955
"PG","Ish Smith",3000,"NY@OKC 08:00PM ET",4.875
"PF","Lance Thomas",3000,"NY@OKC 08:00PM ET",13.922
"SG","Landry Fields",3000,"Dal@Tor 07:30PM ET",2.800
"PF","Darrell Arthur",3000,"Pho@Den 09:00PM ET",15.589
"C","Ekpe Udoh",3000,"LAC@Hou 08:00PM ET",0.700
"SF","Justin Holiday",3000,"GS@Cha 07:00PM ET",1.929
"PG","Jerryd Bayless",3000,"Mil@Det 07:30PM ET",11.766
"C","Kosta Koufos",3000,"Mem@Por 10:00PM ET",12.250
"PF","Jon Leuer",3000,"Mem@Por 10:00PM ET",10.696
"SF","Robbie Hummel",3000,"Min@LAL 10:30PM ET",7.125
"PG","E'Twaun Moore",3000,"Chi@Bos 01:00PM ET",3.036
"C","Cole Aldrich",3000,"NY@OKC 08:00PM ET",8.375
"SG","Marcus Thornton",3000,"Chi@Bos 01:00PM ET",11.614
"PG","Nick Calathes",3000,"Mem@Por 10:00PM ET",1.250
"SF","Austin Daye",3000,"Sac@SA 08:30PM ET",10.275
"PG","Jimmer Fredette",3000,"NO@Atl 07:30PM ET",4.844
"SG","Kent Bazemore",3000,"NO@Atl 07:30PM ET",5.438
"PG","Patty Mills",3000,"Sac@SA 08:30PM ET",0
"C","Festus Ezeli",3000,"GS@Cha 07:00PM ET",8.042
"PF","Alexis Ajinca",3000,"NO@Atl 07:30PM ET",10.200
"C","Jeff Withey",3000,"NO@Atl 07:30PM ET",8.643
"SF","Al-Farouq Aminu",3000,"Dal@Tor 07:30PM ET",13.828
"SF","Luke Babbitt",3000,"NO@Atl 07:30PM ET",6.611
"C","Tyler Zeller",3000,"Chi@Bos 01:00PM ET",12.917
"PF","Andrew Nicholson",3000,"Orl@Ind 08:00PM ET",5.313
"SF","Jeffery Taylor",3000,"GS@Cha 07:00PM ET",0
"SF","Paul George",3000,"Orl@Ind 08:00PM ET",0
"PF","Quincy Acy",3000,"NY@OKC 08:00PM ET",14.923
"SG","Darius Miller",3000,"NO@Atl 07:30PM ET",1.550
"SG","Luigi Datome",3000,"Mil@Det 07:30PM ET",0
"PF","Travis Wear",3000,"NY@OKC 08:00PM ET",6.077
"SG","Victor Claver",3000,"Mem@Por 10:00PM ET",0
"PF","Jonas Jerebko",3000,"Mil@Det 07:30PM ET",11.308
"C","Shayne Whittington",3000,"Orl@Ind 08:00PM ET",11.667
"SG","C.J. Wilcox",3000,"LAC@Hou 08:00PM ET",0
"SG","John Jenkins",3000,"NO@Atl 07:30PM ET",15.250
"PF","Ryan Kelly",3000,"Min@LAL 10:30PM ET",7.083
"PG","Erick Green",3000,"Pho@Den 09:00PM ET",8.750
"PF","Thomas Robinson",3000,"Mem@Por 10:00PM ET",6.594
"SG","Xavier Henry",3000,"Min@LAL 10:30PM ET",3.778
"PG","Jared Cunningham",3000,"LAC@Hou 08:00PM ET",1.844
"PG","Troy Daniels",3000,"LAC@Hou 08:00PM ET",3.375
"C","Greg Smith",3000,"Dal@Tor 07:30PM ET",3.625
"C","Mike Muscala",3000,"NO@Atl 07:30PM ET",11.500
"PG","C.J. McCollum",3000,"Mem@Por 10:00PM ET",9.227
"PG","Nate Wolters",3000,"Mil@Det 07:30PM ET",7.600
"SG","Allen Crabbe",3000,"Mem@Por 10:00PM ET",8.725
"C","Meyers Leonard",3000,"Mem@Por 10:00PM ET",8.625
"SG","Tony Snell",3000,"Chi@Bos 01:00PM ET",5.875
"PF","Cameron Bairstow",3000,"Chi@Bos 01:00PM ET",2.188
"SG","Will Barton",3000,"Mem@Por 10:00PM ET",5.750
"PG","Jordan Clarkson",3000,"Min@LAL 10:30PM ET",9.150
"PF","Patric Young",3000,"NO@Atl 07:30PM ET",0
"PG","Phil Pressey",3000,"Chi@Bos 01:00PM ET",10.071
"PF","Dwight Powell",3000,"Chi@Bos 01:00PM ET",1.000
"PG","Kendall Marshall",3000,"Mil@Det 07:30PM ET",5.667
"SF","Reggie Bullock",3000,"LAC@Hou 08:00PM ET",6.333
"PF","Jae Crowder",3000,"Dal@Tor 07:30PM ET",6.893
"PG","Cory Joseph",3000,"Sac@SA 08:30PM ET",15.104
"PG","Russ Smith",3000,"NO@Atl 07:30PM ET",0.125
"PF","Eric Moreland",3000,"Sac@SA 08:30PM ET",0.000
"SG","Roy Devyn Marble",3000,"Orl@Ind 08:00PM ET",1.313
"PF","Adreian Payne",3000,"NO@Atl 07:30PM ET",0
"SF","Doug McDermott",3000,"Chi@Bos 01:00PM ET",6.400
"SG","Zoran Dragic",3000,"Pho@Den 09:00PM ET",0.000
"C","Bismack Biyombo",3000,"GS@Cha 07:00PM ET",13.306
"PG","Spencer Dinwiddie",3000,"Mil@Det 07:30PM ET",7.938
"SG","Nick Johnson",3000,"LAC@Hou 08:00PM ET",1.313
"PF","Johnny O'Bryant",3000,"Mil@Det 07:30PM ET",0
"SF","Tony Mitchell",3000,"Mil@Det 07:30PM ET",0
"C","Dewayne Dedmon",3000,"Orl@Ind 08:00PM ET",8.455
"PF","Jarnell Stokes",3000,"Mem@Por 10:00PM ET",4.438
"C","Lucas Nogueira",3000,"Dal@Tor 07:30PM ET",9.250
"C","Ognjen Kuzmic",3000,"GS@Cha 07:00PM ET",2.083
"SF","T.J. Warren",3000,"Pho@Den 09:00PM ET",4.350
"PF","Grant Jerrett",3000,"NY@OKC 08:00PM ET",0
"SG","Jordan Adams",3000,"Mem@Por 10:00PM ET",6.188
"SF","Kyle Anderson",3000,"Sac@SA 08:30PM ET",6.750
"SF","Glenn Robinson III",3000,"Min@LAL 10:30PM ET",2.050
"PF","Mitch McGary",3000,"NY@OKC 08:00PM ET",0
"SG","Nik Stauskas",3000,"Sac@SA 08:30PM ET",6.800
"SG","Archie Goodwin",3000,"Pho@Den 09:00PM ET",4.536
"SF","Cleanthony Early",3000,"NY@OKC 08:00PM ET",5.536
"SG","Gary Harris",3000,"Pho@Den 09:00PM ET",10.417
"SG","Ricky Ledo",3000,"Dal@Tor 07:30PM ET",0
"PG","Dennis Schroder",3000,"NO@Atl 07:30PM ET",15.833
"C","Vitor Faverani",3000,"Chi@Bos 01:00PM ET",0
"C","Pero Antic",3000,"NO@Atl 07:30PM ET",10.792
"PG","Tyler Ennis",3000,"Pho@Den 09:00PM ET",3.875
"PF","Noah Vonleh",3000,"GS@Cha 07:00PM ET",5.500
"SG","James Young",3000,"Chi@Bos 01:00PM ET",4.250
"PF","Julius Randle",3000,"Min@LAL 10:30PM ET",1.500
"C","Jusuf Nurkic",3000,"Pho@Den 09:00PM ET",10.156
"SF","Bruno Caboclo",3000,"Dal@Tor 07:30PM ET",11.750
"PF","Clint Capela",3000,"LAC@Hou 08:00PM ET",4.750
"SF","Damien Inglis",3000,"Mil@Det 07:30PM ET",0
"PF","Damjan Rudez",3000,"Orl@Ind 08:00PM ET",7.900
